Track Name,Artist Name,Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
<3x girl - Devstacks Remix,wrldn3ro,4AOGEzfk8WtjzOUw6c7vPO,0.757,0.383,5,-16.097,0,0.398,0.0353,0.00397,0.067,0.147,175.022,audio_features,4AOGEzfk8WtjzOUw6c7vPO,spotify:track:4AOGEzfk8WtjzOUw6c7vPO,https://api.spotify.com/v1/tracks/4AOGEzfk8WtjzOUw6c7vPO,https://api.spotify.com/v1/audio-analysis/4AOGEzfk8WtjzOUw6c7vPO,107207,4
Tell Em,Cochise,7nc7mlSdWYeFom84zZ8Wr8,0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,157.905,audio_features,7nc7mlSdWYeFom84zZ8Wr8,spotify:track:7nc7mlSdWYeFom84zZ8Wr8,https://api.spotify.com/v1/tracks/7nc7mlSdWYeFom84zZ8Wr8,https://api.spotify.com/v1/audio-analysis/7nc7mlSdWYeFom84zZ8Wr8,180380,4
Weak Hoes,UnoTheActivist,35f1fdX8l2EfjeG4gsivLH,0.505,0.657,11,-7.756,0,0.268,0.0544,0.000164,0.243,0.419,74.724,audio_features,35f1fdX8l2EfjeG4gsivLH,spotify:track:35f1fdX8l2EfjeG4gsivLH,https://api.spotify.com/v1/tracks/35f1fdX8l2EfjeG4gsivLH,https://api.spotify.com/v1/audio-analysis/35f1fdX8l2EfjeG4gsivLH,118633,4
Time To Live,UnoTheActivist,1C1TPX3mT0z3nZGmOmBDjX,0.597,0.481,1,-10.423,1,0.138,0.00111,2.64e-05,0.379,0.528,162.836,audio_features,1C1TPX3mT0z3nZGmOmBDjX,spotify:track:1C1TPX3mT0z3nZGmOmBDjX,https://api.spotify.com/v1/tracks/1C1TPX3mT0z3nZGmOmBDjX,https://api.spotify.com/v1/audio-analysis/1C1TPX3mT0z3nZGmOmBDjX,105300,4
C.R.E.a.M.,SpaceGhostPurrp,2zAQX4ccN7Y6cS1NP5M8Pw,0.627,0.886,0,-5.417,0,0.249,0.276,0.0,0.517,0.491,137.134,audio_features,2zAQX4ccN7Y6cS1NP5M8Pw,spotify:track:2zAQX4ccN7Y6cS1NP5M8Pw,https://api.spotify.com/v1/tracks/2zAQX4ccN7Y6cS1NP5M8Pw,https://api.spotify.com/v1/audio-analysis/2zAQX4ccN7Y6cS1NP5M8Pw,141113,4
Dark Trap 2k20,Trippjones,4Dhj70woOsaV1xMEvJcXzF,0.458,0.777,1,-7.166,1,0.443,0.075,0.0,0.284,0.365,170.332,audio_features,4Dhj70woOsaV1xMEvJcXzF,spotify:track:4Dhj70woOsaV1xMEvJcXzF,https://api.spotify.com/v1/tracks/4Dhj70woOsaV1xMEvJcXzF,https://api.spotify.com/v1/audio-analysis/4Dhj70woOsaV1xMEvJcXzF,128514,4
Say So,Doja Cat,3Dv1eDb0MEgF93GpLXlucZ,0.787,0.673,11,-4.583,0,0.159,0.264,3.35e-06,0.0904,0.779,110.962,audio_features,3Dv1eDb0MEgF93GpLXlucZ,spotify:track:3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/tracks/3Dv1eDb0MEgF93GpLXlucZ,https://api.spotify.com/v1/audio-analysis/3Dv1eDb0MEgF93GpLXlucZ,237893,4
Maybach,Snortcaine,3OEVIycQEAeLmFgEG4X3H0,0.597,0.613,4,-5.039,0,0.0467,0.00359,0.000167,0.349,0.331,140.042,audio_features,3OEVIycQEAeLmFgEG4X3H0,spotify:track:3OEVIycQEAeLmFgEG4X3H0,https://api.spotify.com/v1/tracks/3OEVIycQEAeLmFgEG4X3H0,https://api.spotify.com/v1/audio-analysis/3OEVIycQEAeLmFgEG4X3H0,97106,4
Commit to You,Rocket Da Goon,33YRfFsfEK9LUcGkOrI8Oz,0.729,0.638,11,-7.368,1,0.396,0.11,0.0,0.106,0.83,145.129,audio_features,33YRfFsfEK9LUcGkOrI8Oz,spotify:track:33YRfFsfEK9LUcGkOrI8Oz,https://api.spotify.com/v1/tracks/33YRfFsfEK9LUcGkOrI8Oz,https://api.spotify.com/v1/audio-analysis/33YRfFsfEK9LUcGkOrI8Oz,173949,4
Patrick Swayze,Bighead,0aoPwKDoK9OcdnpQrMOqnp,0.453,0.757,8,-7.332,1,0.332,0.0787,0.0,0.129,0.21,77.953,audio_features,0aoPwKDoK9OcdnpQrMOqnp,spotify:track:0aoPwKDoK9OcdnpQrMOqnp,https://api.spotify.com/v1/tracks/0aoPwKDoK9OcdnpQrMOqnp,https://api.spotify.com/v1/audio-analysis/0aoPwKDoK9OcdnpQrMOqnp,174545,4
Partners in Crime,Thouxanbanfauni,2ePDSYvGyFiwOKQp4f5ESh,0.772,0.479,9,-10.657,1,0.136,0.0844,0.0,0.126,0.219,95.046,audio_features,2ePDSYvGyFiwOKQp4f5ESh,spotify:track:2ePDSYvGyFiwOKQp4f5ESh,https://api.spotify.com/v1/tracks/2ePDSYvGyFiwOKQp4f5ESh,https://api.spotify.com/v1/audio-analysis/2ePDSYvGyFiwOKQp4f5ESh,154227,4
dashstar* - VIP,Knock2,4FKRT4uPFx2L4exy9DCs1o,0.58,0.968,5,-2.803,1,0.0807,0.0162,0.294,0.354,0.0599,126.023,audio_features,4FKRT4uPFx2L4exy9DCs1o,spotify:track:4FKRT4uPFx2L4exy9DCs1o,https://api.spotify.com/v1/tracks/4FKRT4uPFx2L4exy9DCs1o,https://api.spotify.com/v1/audio-analysis/4FKRT4uPFx2L4exy9DCs1o,140481,4
Signed 2 The Dark,KILLKODY,79j0DZJt33cEgIL9R3Wcuo,0.747,0.773,1,-4.908,1,0.12,0.00394,0.0,0.403,0.373,110.03,audio_features,79j0DZJt33cEgIL9R3Wcuo,spotify:track:79j0DZJt33cEgIL9R3Wcuo,https://api.spotify.com/v1/tracks/79j0DZJt33cEgIL9R3Wcuo,https://api.spotify.com/v1/audio-analysis/79j0DZJt33cEgIL9R3Wcuo,110054,4
Not Alone,Alix Perez,2460FCYtdrrcTChzU7G7aT,0.573,0.617,5,-5.743,0,0.0721,0.00184,0.806,0.0974,0.183,174.019,audio_features,2460FCYtdrrcTChzU7G7aT,spotify:track:2460FCYtdrrcTChzU7G7aT,https://api.spotify.com/v1/tracks/2460FCYtdrrcTChzU7G7aT,https://api.spotify.com/v1/audio-analysis/2460FCYtdrrcTChzU7G7aT,298785,4
geek,Sig.Carlito,1B64g92Ar5hHYpYzNM7u8E,0.762,0.696,11,-5.836,0,0.0495,0.0594,0.0,0.162,0.687,131.848,audio_features,1B64g92Ar5hHYpYzNM7u8E,spotify:track:1B64g92Ar5hHYpYzNM7u8E,https://api.spotify.com/v1/tracks/1B64g92Ar5hHYpYzNM7u8E,https://api.spotify.com/v1/audio-analysis/1B64g92Ar5hHYpYzNM7u8E,116428,4
no keys,Sig.Carlito,3Sx2J8fJAOPLfGXgNich9T,0.696,0.678,1,-10.023,0,0.13,0.024,0.0,0.277,0.478,127.873,audio_features,3Sx2J8fJAOPLfGXgNich9T,spotify:track:3Sx2J8fJAOPLfGXgNich9T,https://api.spotify.com/v1/tracks/3Sx2J8fJAOPLfGXgNich9T,https://api.spotify.com/v1/audio-analysis/3Sx2J8fJAOPLfGXgNich9T,105064,4
Keep My Coo,Lil Peep,5r9pmRvq2fHFDsMClWZqjh,0.816,0.723,2,-7.02,1,0.0412,0.00618,0.0,0.263,0.0473,119.973,audio_features,5r9pmRvq2fHFDsMClWZqjh,spotify:track:5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/tracks/5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/audio-analysis/5r9pmRvq2fHFDsMClWZqjh,266187,4
Keep My Coo,Lil Peep,5r9pmRvq2fHFDsMClWZqjh,0.816,0.723,2,-7.02,1,0.0412,0.00618,0.0,0.263,0.0473,119.973,audio_features,5r9pmRvq2fHFDsMClWZqjh,spotify:track:5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/tracks/5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/audio-analysis/5r9pmRvq2fHFDsMClWZqjh,266187,4
Keep My Coo,Lil Peep,5r9pmRvq2fHFDsMClWZqjh,0.816,0.723,2,-7.02,1,0.0412,0.00618,0.0,0.263,0.0473,119.973,audio_features,5r9pmRvq2fHFDsMClWZqjh,spotify:track:5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/tracks/5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/audio-analysis/5r9pmRvq2fHFDsMClWZqjh,266187,4
Keep My Coo,Lil Peep,5r9pmRvq2fHFDsMClWZqjh,0.816,0.723,2,-7.02,1,0.0412,0.00618,0.0,0.263,0.0473,119.973,audio_features,5r9pmRvq2fHFDsMClWZqjh,spotify:track:5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/tracks/5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/audio-analysis/5r9pmRvq2fHFDsMClWZqjh,266187,4
Keep My Coo,Lil Peep,5r9pmRvq2fHFDsMClWZqjh,0.816,0.723,2,-7.02,1,0.0412,0.00618,0.0,0.263,0.0473,119.973,audio_features,5r9pmRvq2fHFDsMClWZqjh,spotify:track:5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/tracks/5r9pmRvq2fHFDsMClWZqjh,https://api.spotify.com/v1/audio-analysis/5r9pmRvq2fHFDsMClWZqjh,266187,4
"Little Soldier Boy, Leaves from the Vine",Jbird856,1pVv4qqoGB31PAZH9KTi85,0.54,0.309,9,-15.593,1,0.0542,0.697,7.7e-05,0.0804,0.0661,119.955,audio_features,1pVv4qqoGB31PAZH9KTi85,spotify:track:1pVv4qqoGB31PAZH9KTi85,https://api.spotify.com/v1/tracks/1pVv4qqoGB31PAZH9KTi85,https://api.spotify.com/v1/audio-analysis/1pVv4qqoGB31PAZH9KTi85,244444,4
Givenchy,UnoTheActivist,2Mi39kVWgHIPMHXgdT2mvb,0.768,0.338,11,-21.439,0,0.252,0.117,0.0,0.131,0.747,136.388,audio_features,2Mi39kVWgHIPMHXgdT2mvb,spotify:track:2Mi39kVWgHIPMHXgdT2mvb,https://api.spotify.com/v1/tracks/2Mi39kVWgHIPMHXgdT2mvb,https://api.spotify.com/v1/audio-analysis/2Mi39kVWgHIPMHXgdT2mvb,120324,4
