Track Name,Artist Name,Track ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Slow It Down,Benson Boone,51eSHglvG1RJXtL3qI5trr,0.432,0.583,8,-4.682,1,0.0687,0.174,0.0,0.0933,0.544,181.489,audio_features,51eSHglvG1RJXtL3qI5trr,spotify:track:51eSHglvG1RJXtL3qI5trr,https://api.spotify.com/v1/tracks/51eSHglvG1RJXtL3qI5trr,https://api.spotify.com/v1/audio-analysis/51eSHglvG1RJXtL3qI5trr,161831,4
Whatever She Wants [BONUS],Bryson Tiller,7aQ1tSYr518KwnE4SVSQbT,0.803,0.512,9,-6.871,0,0.066,0.128,0.0,0.0928,0.435,96.02,audio_features,7aQ1tSYr518KwnE4SVSQbT,spotify:track:7aQ1tSYr518KwnE4SVSQbT,https://api.spotify.com/v1/tracks/7aQ1tSYr518KwnE4SVSQbT,https://api.spotify.com/v1/audio-analysis/7aQ1tSYr518KwnE4SVSQbT,161342,4
7 Minute Drill,J. Cole,2mhdhTWqT8RhkTlN2yWZZi,0.643,0.791,10,-5.106,0,0.237,0.0365,0.0,0.0993,0.741,85.434,audio_features,2mhdhTWqT8RhkTlN2yWZZi,spotify:track:2mhdhTWqT8RhkTlN2yWZZi,https://api.spotify.com/v1/tracks/2mhdhTWqT8RhkTlN2yWZZi,https://api.spotify.com/v1/audio-analysis/2mhdhTWqT8RhkTlN2yWZZi,212213,4
greedy,Tate McRae,3rUGC1vUpkDG9CZFHMur1t,0.75,0.733,6,-3.18,0,0.0319,0.256,0.0,0.114,0.844,111.018,audio_features,3rUGC1vUpkDG9CZFHMur1t,spotify:track:3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/tracks/3rUGC1vUpkDG9CZFHMur1t,https://api.spotify.com/v1/audio-analysis/3rUGC1vUpkDG9CZFHMur1t,131872,1
Cinderella,Future,0hKtu53OlIFXVuYkZwcn3o,0.876,0.412,5,-7.74,0,0.0748,0.431,0.0,0.101,0.15,130.052,audio_features,0hKtu53OlIFXVuYkZwcn3o,spotify:track:0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/tracks/0hKtu53OlIFXVuYkZwcn3o,https://api.spotify.com/v1/audio-analysis/0hKtu53OlIFXVuYkZwcn3o,169840,4
Cruel Summer,Taylor Swift,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,audio_features,1BxfuPKGuaTgP7aM0Bbdwr,spotify:track:1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/tracks/1BxfuPKGuaTgP7aM0Bbdwr,https://api.spotify.com/v1/audio-analysis/1BxfuPKGuaTgP7aM0Bbdwr,178427,4
Last Night,Morgan Wallen,7K3BhSpAxZBznislvUMVtn,0.492,0.675,6,-5.456,1,0.0389,0.467,0.0,0.142,0.478,203.759,audio_features,7K3BhSpAxZBznislvUMVtn,spotify:track:7K3BhSpAxZBznislvUMVtn,https://api.spotify.com/v1/tracks/7K3BhSpAxZBznislvUMVtn,https://api.spotify.com/v1/audio-analysis/7K3BhSpAxZBznislvUMVtn,163855,4
Get It Sexyy,Sexyy Red,2MjXWroB9wlTG2kqv3avfS,0.806,0.737,0,-4.709,1,0.287,0.0983,0.0,0.051,0.536,145.031,audio_features,2MjXWroB9wlTG2kqv3avfS,spotify:track:2MjXWroB9wlTG2kqv3avfS,https://api.spotify.com/v1/tracks/2MjXWroB9wlTG2kqv3avfS,https://api.spotify.com/v1/audio-analysis/2MjXWroB9wlTG2kqv3avfS,148552,4
Something in the Orange,Zach Bryan,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,3WMj8moIAXJhHsyLaqIIHI,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3
"Good Luck, Babe!",Chappell Roan,0WbMK4wrZ1wFSty9F7FCgu,0.698,0.577,11,-5.858,0,0.0356,0.0495,0.0,0.0934,0.799,116.719,audio_features,0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,https://api.spotify.com/v1/audio-analysis/0WbMK4wrZ1wFSty9F7FCgu,218424,4
