Album,Track
Midnights,Snow On The Beach (feat. Lana Del Rey)
Midnights,"You're On Your Own, Kid"
Midnights,Midnight Rain
Midnights,Question...?
Midnights,Vigilante Shit
Midnights,Bejeweled
Midnights,Labyrinth
Midnights,Karma
Midnights,Sweet Nothing
Midnights,Mastermind
Red (Taylor's Version),State Of Grace (Taylor's Version)
Red (Taylor's Version),Red (Taylor's Version)
Red (Taylor's Version),Treacherous (Taylor's Version)
Red (Taylor's Version),I Knew You Were Trouble (Taylor's Version)
Red (Taylor's Version),All Too Well (Taylor's Version)
Red (Taylor's Version),22 (Taylor's Version)
Red (Taylor's Version),I Almost Do (Taylor's Version)
Red (Taylor's Version),We Are Never Ever Getting Back Together (Taylor's Version)
Red (Taylor's Version),Stay Stay Stay (Taylor's Version)
Red (Taylor's Version),The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version)
Red (Taylor's Version),Holy Ground (Taylor's Version)
Red (Taylor's Version),Sad Beautiful Tragic (Taylor's Version)
Red (Taylor's Version),The Lucky One (Taylor's Version)
Red (Taylor's Version),Everything Has Changed (feat. Ed Sheeran) (Taylor’s Version)
Red (Taylor's Version),Starlight (Taylor's Version)
Red (Taylor's Version),Begin Again (Taylor's Version)
Red (Taylor's Version),The Moment I Knew (Taylor's Version)
Red (Taylor's Version),Come Back...Be Here (Taylor's Version)
Red (Taylor's Version),Girl At Home (Taylor's Version)
Red (Taylor's Version),State Of Grace (Acoustic Version) (Taylor's Version)
Red (Taylor's Version),Ronan (Taylor's Version)
Red (Taylor's Version),Better Man (Taylor's Version) (From The Vault)
Red (Taylor's Version),Nothing New (feat. Phoebe Bridgers) (Taylor’s Version) (From The Vault)
Red (Taylor's Version),Babe (Taylor's Version) (From The Vault)
Red (Taylor's Version),Message In A Bottle (Taylor's Version) (From The Vault)
Red (Taylor's Version),I Bet You Think About Me (feat. Chris Stapleton) (Taylor’s Version) (From The Vault)
Red (Taylor's Version),Forever Winter (Taylor's Version) (From The Vault)
Red (Taylor's Version),Run (feat. Ed Sheeran) (Taylor’s Version) (From The Vault)
Red (Taylor's Version),The Very First Night (Taylor's Version) (From The Vault)
Red (Taylor's Version),All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)
Fearless (Taylor's Version),Fearless (Taylor’s Version)
Fearless (Taylor's Version),Fifteen (Taylor’s Version)
Fearless (Taylor's Version),Love Story (Taylor’s Version)
Fearless (Taylor's Version),Hey Stephen (Taylor’s Version)
Fearless (Taylor's Version),White Horse (Taylor’s Version)
Fearless (Taylor's Version),You Belong With Me (Taylor’s Version)
Fearless (Taylor's Version),Breathe (feat. Colbie Caillat) (Taylor’s Version)
Fearless (Taylor's Version),Tell Me Why (Taylor’s Version)
Fearless (Taylor's Version),You’re Not Sorry (Taylor’s Version)
Fearless (Taylor's Version),The Way I Loved You (Taylor’s Version)
Fearless (Taylor's Version),Forever & Always (Taylor’s Version)
Fearless (Taylor's Version),The Best Day (Taylor’s Version)
Fearless (Taylor's Version),Change (Taylor’s Version)
Fearless (Taylor's Version),Jump Then Fall (Taylor’s Version)
Fearless (Taylor's Version),Untouchable (Taylor’s Version)
Fearless (Taylor's Version),Forever & Always (Piano Version) (Taylor’s Version)
Fearless (Taylor's Version),Come In With The Rain (Taylor’s Version)
Fearless (Taylor's Version),Superstar (Taylor’s Version)
Fearless (Taylor's Version),The Other Side Of The Door (Taylor’s Version)
Fearless (Taylor's Version),Today Was A Fairytale (Taylor’s Version)
Fearless (Taylor's Version),You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault)
Fearless (Taylor's Version),Mr. Perfectly Fine (Taylor’s Version) (From The Vault)
Fearless (Taylor's Version),We Were Happy (Taylor’s Version) (From The Vault)
Fearless (Taylor's Version),That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault)
Fearless (Taylor's Version),Don’t You (Taylor’s Version) (From The Vault)
Fearless (Taylor's Version),Bye Bye Baby (Taylor’s Version) (From The Vault)
evermore (deluxe version),willow
evermore (deluxe version),champagne problems
evermore (deluxe version),gold rush
evermore (deluxe version),‘tis the damn season
evermore (deluxe version),tolerate it
evermore (deluxe version),"no body, no crime (feat. HAIM)"
evermore (deluxe version),happiness
evermore (deluxe version),dorothea
evermore (deluxe version),coney island (feat. The National)
evermore (deluxe version),ivy
evermore (deluxe version),cowboy like me
evermore (deluxe version),long story short
evermore (deluxe version),marjorie
evermore (deluxe version),closure
evermore (deluxe version),evermore (feat. Bon Iver)
evermore (deluxe version),right where you left me - bonus track
evermore (deluxe version),it’s time to go - bonus track
evermore,willow
evermore,champagne problems
evermore,gold rush
evermore,‘tis the damn season
evermore,tolerate it
evermore,"no body, no crime (feat. HAIM)"
evermore,happiness
evermore,dorothea
evermore,coney island (feat. The National)
evermore,ivy
evermore,cowboy like me
evermore,long story short
evermore,marjorie
evermore,closure
evermore,evermore (feat. Bon Iver)
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],the 1
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],cardigan
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],the last great american dynasty
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],exile (feat. Bon Iver)
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],my tears ricochet
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],mirrorball
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],seven
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],august
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],this is me trying
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],illicit affairs
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],invisible string
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],mad woman
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],epiphany
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],betty
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],peace
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],hoax
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],the lakes - bonus track
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],the 1 - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],cardigan - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],the last great american dynasty - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],exile (feat. Bon Iver) - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],my tears ricochet - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],mirrorball - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],seven - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],august - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],this is me trying - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],illicit affairs - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],invisible string - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],mad woman - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],epiphany - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],betty - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],peace - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],hoax - the long pond studio sessions
folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],the lakes - the long pond studio sessions
folklore (deluxe version),the 1
folklore (deluxe version),cardigan
folklore (deluxe version),the last great american dynasty
folklore (deluxe version),exile (feat. Bon Iver)
folklore (deluxe version),my tears ricochet
folklore (deluxe version),mirrorball
folklore (deluxe version),seven
folklore (deluxe version),august
folklore (deluxe version),this is me trying
folklore (deluxe version),illicit affairs
folklore (deluxe version),invisible string
folklore (deluxe version),mad woman
folklore (deluxe version),epiphany
folklore (deluxe version),betty
folklore (deluxe version),peace
folklore (deluxe version),hoax
folklore (deluxe version),the lakes - bonus track
folklore,the 1
folklore,cardigan
folklore,the last great american dynasty
folklore,exile (feat. Bon Iver)
folklore,my tears ricochet
folklore,mirrorball
folklore,seven
folklore,august
folklore,this is me trying
folklore,illicit affairs
folklore,invisible string
folklore,mad woman
folklore,epiphany
folklore,betty
folklore,peace
folklore,hoax
Lover,I Forgot That You Existed
Lover,Cruel Summer
Lover,Lover
Lover,The Man
Lover,The Archer
Lover,I Think He Knows
Lover,Miss Americana & The Heartbreak Prince
Lover,Paper Rings
Lover,Cornelia Street
Lover,Death By A Thousand Cuts
Lover,London Boy
Lover,Soon You’ll Get Better (feat. The Chicks)
Lover,False God
Lover,You Need To Calm Down
Lover,Afterglow
Lover,ME! (feat. Brendon Urie of Panic! At The Disco)
Lover,It’s Nice To Have A Friend
Lover,Daylight
reputation,...Ready For It?
reputation,End Game
reputation,I Did Something Bad
reputation,Don’t Blame Me
reputation,Delicate
reputation,Look What You Made Me Do
reputation,So It Goes...
reputation,Gorgeous
reputation,Getaway Car
reputation,King Of My Heart
reputation,Dancing With Our Hands Tied
reputation,Dress
reputation,This Is Why We Can't Have Nice Things
reputation,Call It What You Want
reputation,New Year’s Day
reputation Stadium Tour Surprise Song Playlist,All Too Well
reputation Stadium Tour Surprise Song Playlist,Wildest Dreams
reputation Stadium Tour Surprise Song Playlist,The Best Day
reputation Stadium Tour Surprise Song Playlist,Red
reputation Stadium Tour Surprise Song Playlist,Holy Ground
reputation Stadium Tour Surprise Song Playlist,Teardrops On My Guitar - Radio Single Remix
reputation Stadium Tour Surprise Song Playlist,Our Song
reputation Stadium Tour Surprise Song Playlist,22
reputation Stadium Tour Surprise Song Playlist,I Knew You Were Trouble.
reputation Stadium Tour Surprise Song Playlist,I Don’t Wanna Live Forever (Fifty Shades Darker)
reputation Stadium Tour Surprise Song Playlist,Mean
reputation Stadium Tour Surprise Song Playlist,How You Get The Girl
reputation Stadium Tour Surprise Song Playlist,So It Goes...
reputation Stadium Tour Surprise Song Playlist,Fifteen
reputation Stadium Tour Surprise Song Playlist,Mine
reputation Stadium Tour Surprise Song Playlist,Sparks Fly
reputation Stadium Tour Surprise Song Playlist,State Of Grace
reputation Stadium Tour Surprise Song Playlist,Haunted
reputation Stadium Tour Surprise Song Playlist,Never Grow Up
reputation Stadium Tour Surprise Song Playlist,Treacherous
reputation Stadium Tour Surprise Song Playlist,Babe
reputation Stadium Tour Surprise Song Playlist,Welcome To New York
reputation Stadium Tour Surprise Song Playlist,Fearless
reputation Stadium Tour Surprise Song Playlist,Enchanted
reputation Stadium Tour Surprise Song Playlist,Change
reputation Stadium Tour Surprise Song Playlist,Ours
reputation Stadium Tour Surprise Song Playlist,Out Of The Woods
reputation Stadium Tour Surprise Song Playlist,Come Back...Be Here
reputation Stadium Tour Surprise Song Playlist,A Place in this World
reputation Stadium Tour Surprise Song Playlist,This Love
reputation Stadium Tour Surprise Song Playlist,The Lucky One
reputation Stadium Tour Surprise Song Playlist,Invisible
reputation Stadium Tour Surprise Song Playlist,Breathe
reputation Stadium Tour Surprise Song Playlist,Better Man
reputation Stadium Tour Surprise Song Playlist,Jump Then Fall
reputation Stadium Tour Surprise Song Playlist,Begin Again
reputation Stadium Tour Surprise Song Playlist,Tied Together with a Smile
reputation Stadium Tour Surprise Song Playlist,The Story Of Us
reputation Stadium Tour Surprise Song Playlist,Forever & Always
reputation Stadium Tour Surprise Song Playlist,Hey Stephen
reputation Stadium Tour Surprise Song Playlist,Speak Now
reputation Stadium Tour Surprise Song Playlist,Wonderland
reputation Stadium Tour Surprise Song Playlist,White Horse
reputation Stadium Tour Surprise Song Playlist,I'm Only Me When I'm With You
reputation Stadium Tour Surprise Song Playlist,Starlight
reputation Stadium Tour Surprise Song Playlist,I Know Places
1989 (Deluxe Edition),Welcome To New York
1989 (Deluxe Edition),Blank Space
1989 (Deluxe Edition),Style
1989 (Deluxe Edition),Out Of The Woods
1989 (Deluxe Edition),All You Had To Do Was Stay
1989 (Deluxe Edition),Shake It Off
1989 (Deluxe Edition),I Wish You Would
1989 (Deluxe Edition),Bad Blood
1989 (Deluxe Edition),Wildest Dreams
1989 (Deluxe Edition),How You Get The Girl
1989 (Deluxe Edition),This Love
1989 (Deluxe Edition),I Know Places
1989 (Deluxe Edition),Clean
1989 (Deluxe Edition),Wonderland
1989 (Deluxe Edition),You Are In Love
1989 (Deluxe Edition),New Romantics
1989 (Deluxe Edition),I Know Places - Voice Memo
1989 (Deluxe Edition),I Wish You Would - Voice Memo
1989 (Deluxe Edition),Blank Space - Voice Memo
1989,Welcome To New York
1989,Blank Space
1989,Style
1989,Out Of The Woods
1989,All You Had To Do Was Stay
1989,Shake It Off
1989,I Wish You Would
1989,Bad Blood
1989,Wildest Dreams
1989,How You Get The Girl
1989,This Love
1989,I Know Places
1989,Clean
Red (Deluxe Edition),State Of Grace
Red (Deluxe Edition),Red
Red (Deluxe Edition),Treacherous
Red (Deluxe Edition),I Knew You Were Trouble.
Red (Deluxe Edition),All Too Well
Red (Deluxe Edition),22
Red (Deluxe Edition),I Almost Do
Red (Deluxe Edition),We Are Never Ever Getting Back Together
Red (Deluxe Edition),Stay Stay Stay
Red (Deluxe Edition),The Last Time
Red (Deluxe Edition),Holy Ground
Red (Deluxe Edition),Sad Beautiful Tragic
Red (Deluxe Edition),The Lucky One
Red (Deluxe Edition),Everything Has Changed
Red (Deluxe Edition),Starlight
Red (Deluxe Edition),Begin Again
Red (Deluxe Edition),The Moment I Knew
Red (Deluxe Edition),Come Back...Be Here
Red (Deluxe Edition),Girl At Home
Red (Deluxe Edition),Treacherous - Original Demo Recording
Red (Deluxe Edition),Red - Original Demo Recording
Red (Deluxe Edition),State Of Grace - Acoustic
Red,State Of Grace
Red,Red
Red,Treacherous
Red,I Knew You Were Trouble.
Red,All Too Well
Red,22
Red,I Almost Do
Red,We Are Never Ever Getting Back Together
Red,Stay Stay Stay
Red,The Last Time
Red,Holy Ground
Red,Sad Beautiful Tragic
Red,The Lucky One
Red,Everything Has Changed
Red,Starlight
Red,Begin Again
